# 29141 rectangular buckets with a mean size of 10.67 x 18.64 data points
centerF1, centerF2, bucket, max, min, std, bucket_size_F1, bucket_size_F2
-10.000, 0.500, 4662173.8, 1989298.2, 1989298.2, 711339.5, 11, 19
-10.000, 0.550, 2248184.8, 2555335.4, 2555335.4, 854773.3, 11, 18
-10.000, 0.600, -1610189.0, 1911114.8, 1911114.8, 807022.9, 11, 19
-10.000, 0.650, -8851593.3, 845098.2, 845098.2, 521675.9, 11, 19
-10.000, 0.700, 5320218.1, 2077790.3, 2077790.3, 711552.1, 11, 18
-10.000, 0.750, -1651905.3, 1910948.8, 1910948.8, 697549.6, 11, 19
-10.000, 0.800, -172903.5, 1148294.2, 1148294.2, 523278.0, 11, 18
-10.000, 0.850, 77015.9, 733708.8, 733708.8, 280116.0, 11, 19
-10.000, 0.900, -2439077.2, 441434.1, 441434.1, 234360.1, 11, 19
-10.000, 0.950, -100855359.9, 1610091.4, 1610091.4, 11606859.5, 11, 18
-10.000, 1.000, -633696876.7, 1025845.9, 1025845.9, 24911682.3, 11, 19
-10.000, 1.050, -73873077.8, 651114.3, 651114.3, 9198821.2, 11, 19
-10.000, 1.100, -2314582.6, 1636543.5, 1636543.5, 502108.4, 11, 18
-10.000, 1.150, -2073755.4, 1478953.4, 1478953.4, 534332.7, 11, 19
-10.000, 1.200, -60190148.1, -498671.8, -498671.8, 1187879.5, 11, 19
-10.000, 1.250, -8963271.2, 2773642.7, 2773642.7, 1346493.2, 11, 18
-10.000, 1.300, -250575582.1, 205137679.8, 205137679.8, 40885963.7, 11, 19
-10.000, 1.350, 4372568450.8, 1435019713.2, 1435019713.2, 368989082.1, 11, 18
-10.000, 1.400, 96203953.3, 60864499.1, 60864499.1, 12436909.6, 11, 19
-10.000, 1.450, 131979767.1, 64836202.5, 64836202.5, 14710015.3, 11, 19
-10.000, 1.500, -1517933.3, 905750.6, 905750.6, 208243.0, 11, 18
-10.000, 1.550, -61220369.5, 1829280.5, 1829280.5, 3127891.0, 11, 19
-10.000, 1.600, 5180678.6, 3213633.2, 3213633.2, 1478505.6, 11, 19
