# 29141 rectangular buckets with a mean size of 6.83 x 9.32 data points
centerF1, centerF2, bucket, max, min, std, bucket_size_F1, bucket_size_F2
-10.000, 0.500, 512666.8, 356902.8, 356902.8, 180276.3, 6, 10
-10.000, 0.550, 2578313.8, 543376.9, 543376.9, 231114.0, 6, 9
-10.000, 0.600, -1656255.0, 203529.4, 203529.4, 103072.8, 6, 9
-10.000, 0.650, -1540823.7, 207716.9, 207716.9, 112021.5, 6, 10
-10.000, 0.700, -307769.5, 458703.5, 458703.5, 173747.1, 6, 9
-10.000, 0.750, 1905315.3, 565081.1, 565081.1, 252919.5, 6, 9
-10.000, 0.800, -1648827.9, 493056.4, 493056.4, 241728.3, 6, 10
-10.000, 0.850, -3392072.0, 109749.0, 109749.0, 95778.9, 6, 9
-10.000, 0.900, -353850.8, 561641.7, 561641.7, 231472.3, 6, 9
-10.000, 0.950, 1788246.9, 650417.4, 650417.4, 258995.9, 6, 9
-10.000, 1.000, -2859095.8, 130709.4, 130709.4, 98382.1, 6, 10
-10.000, 1.050, -1665215.0, 396399.6, 396399.6, 169903.5, 6, 9
-10.000, 1.100, 3741706.8, 426080.4, 426080.4, 116042.3, 6, 9
-10.000, 1.150, -1696867.2, 234256.0, 234256.0, 142613.1, 6, 10
-10.000, 1.200, 1601460.4, 964330.5, 964330.5, 279742.0, 6, 9
-10.000, 1.250, -3806860.3, 849736.5, 849736.5, 490671.4, 6, 9
-10.000, 1.300, -8531224.4, 90018.6, 90018.6, 261681.1, 6, 10
-10.000, 1.350, -1657172.2, 601097.4, 601097.4, 194719.8, 6, 9
-10.000, 1.400, 2347985.2, 1168012.2, 1168012.2, 374959.7, 6, 9
-10.000, 1.450, -2559677.8, -14764.1, -14764.1, 50936.3, 6, 10
-10.000, 1.500, -45943.6, 368594.9, 368594.9, 205086.8, 6, 9
-10.000, 1.550, -2516489.0, 108978.9, 108978.9, 101839.7, 6, 9
-10.000, 1.600, 2165059.9, 497994.7, 497994.7, 259513.6, 6, 10
-10.000, 1.650, 968392.8, 668028.5, 668028.5, 239949.0, 6, 9
-10.000, 1.700, 1703126.6, 747862.7, 747862.7, 273995.7, 6, 9
-10.000, 1.750, -669754.5, 456373.7, 456373.7, 197163.8, 6, 10
-10.000, 1.800, -2006989.6, 279905.9, 279905.9, 147922.3, 6, 9
-10.000, 1.850, -4808160.2, -26994.2, -26994.2, 111682.8, 6, 9
-10.000, 1.900, -2017122.2, 223052.4, 223052.4, 107863.0, 6, 9
-10.000, 1.950, 3834334.0, 1169345.2, 1169345.2, 512042.1, 6, 10
-10.000, 2.000, 3133856.0, 758968.1, 758968.1, 247865.9, 6, 9
-10.000, 2.050, -542216.8, 351871.0, 351871.0, 146196.5, 6, 9
-10.000, 2.100, -1281098.8, 385421.8, 385421.8, 131407.6, 6, 10
-10.000, 2.150, -2573610.8, 111904.1, 111904.1, 81595.1, 6, 9
-10.000, 2.200, -2553254.8, 237902.9, 237902.9, 138437.8, 6, 9
-10.000, 2.250, -1805584.9, 211510.2, 211510.2, 134602.9, 6, 10
-10.000, 2.300, -1691899.5, 219871.3, 219871.3, 162032.1, 6, 9
-10.000, 2.350, -357149.7, 629265.8, 629265.8, 215421.1, 6, 9
-10.000, 2.400, 3184458.1, 830592.3, 830592.3, 423129.0, 6, 10
-10.000, 2.450, 5493282.0, 1071617.9, 1071617.9, 365423.0, 6, 9
-10.000, 2.500, -2076690.2, 671383.1, 671383.1, 198975.3, 6, 9
-10.000, 2.550, -543571.5, 713844.9, 713844.9, 198760.3, 6, 10
-10.000, 2.600, -2350596.1, 283702.7, 283702.7, 116205.6, 6, 9
-10.000, 2.650, -4654675.5, -52847.3, -52847.3, 72160.0, 6, 9
-10.000, 2.700, -1223390.4, 339898.8, 339898.8, 150498.6, 6, 10
-10.000, 2.750, -2836131.1, 208055.9, 208055.9, 148165.6, 6, 9
-10.000, 2.800, -4098.0, 274717.0, 274717.0, 140821.7, 6, 9
-10.000, 2.850, 659847.2, 420917.0, 420917.0, 124000.6, 6, 9
-10.000, 2.900, 163703.1, 267567.5, 267567.5, 126725.6, 6, 10
-10.000, 2.950, -3097714.9, 227313.5, 227313.5, 121380.4, 6, 9
-10.000, 3.000, -1612286.2, 327824.8, 327824.8, 185132.1, 6, 9
-10.000, 3.050, 109654.2, 300818.8, 300818.8, 138648.4, 6, 10
-10.000, 3.100, -2151975.2, 289306.1, 289306.1, 178240.8, 6, 9
-10.000, 3.150, -284255.8, 279755.9, 279755.9, 135847.2, 6, 9
-10.000, 3.200, -335190.3, 269546.9, 269546.9, 116052.2, 6, 10
-10.000, 3.250, 4553959.0, 856537.3, 856537.3, 320618.4, 6, 9
-10.000, 3.300, -14669686.5, 979828.0, 979828.0, 997177.6, 6, 9
-10.000, 3.350, -9019830.5, -70005.8, -70005.8, 267702.6, 6, 10
-10.000, 3.400, -2904278.8, 293431.2, 293431.2, 167072.0, 6, 9
-10.000, 3.450, 1062592.3, 768977.6, 768977.6, 248052.3, 6, 9
-10.000, 3.500, 4680536.7, 845949.4, 845949.4, 242462.3, 6, 10
-10.000, 3.550, 3350905.3, 591995.7, 591995.7, 222542.8, 6, 9
-10.000, 3.600, 2118550.5, 640190.1, 640190.1, 289096.6, 6, 9
-10.000, 3.650, -828443.6, 712789.5, 712789.5, 282887.9, 6, 10
-10.000, 3.700, -1595816.1, 397261.9, 397261.9, 220981.0, 6, 9
-10.000, 3.750, -889358.1, 423371.9, 423371.9, 192179.1, 6, 9
-10.000, 3.800, 1194331.3, 192376.6, 192376.6, 70753.6, 6, 9
-10.000, 3.850, -1606715.4, 241518.5, 241518.5, 107222.0, 6, 10
-10.000, 3.900, 8118431.2, 1331991.2, 1331991.2, 628733.6, 6, 9
-10.000, 3.950, -4033934.0, 302280.4, 302280.4, 179914.3, 6, 9
-10.000, 4.000, 1375071.8, 812078.1, 812078.1, 338338.9, 6, 10
-10.000, 4.050, 1094486.0, 896039.9, 896039.9, 439291.2, 6, 9
-10.000, 4.100, 92306.8, 677340.0, 677340.0, 249305.4, 6, 9
-10.000, 4.150, 1533660.7, 250043.8, 250043.8, 82358.6, 6, 10
-10.000, 4.200, -1850194.5, 413836.5, 413836.5, 167750.7, 6, 9
-10.000, 4.250, -888685.1, 387092.1, 387092.1, 261782.8, 6, 9
-10.000, 4.300, -1437017.3, 318798.6, 318798.6, 157434.8, 6, 10
-10.000, 4.350, -1842972.4, 244287.3, 244287.3, 124469.6, 6, 9
-10.000, 4.400, -201174.1, 410163.9, 410163.9, 177944.7, 6, 9
-10.000, 4.450, 820820.9, 392660.5, 392660.5, 193081.7, 6, 10
-10.000, 4.500, 485558.1, 437332.9, 437332.9, 205768.8, 6, 9
-10.000, 4.550, 6463270.5, 507950.9, 507950.9, 106376.7, 6, 9
-10.000, 4.600, 1841728.4, 502647.0, 502647.0, 226778.2, 6, 10
-10.000, 4.650, -1061454.9, 287772.1, 287772.1, 131745.9, 6, 9
-10.000, 4.700, 1081949.3, 888130.8, 888130.8, 288719.2, 6, 9
-10.000, 4.750, -3592654.0, 289368.4, 289368.4, 161048.2, 6, 9
-10.000, 4.800, -810698.1, 371828.4, 371828.4, 179111.4, 6, 10
-10.000, 4.850, -1995808.3, 261965.1, 261965.1, 258404.5, 6, 9
